epoch,train_loss,train_acc,val_loss,val_acc,duration_sec
1,0.16479756068821028,0.9298801369863013,0.03219149211031741,0.9910958904109589,68.1
2,0.03809299033592863,0.986986301369863,0.013896290497640266,0.9952054794520548,67.58
3,0.020885050346000817,0.9928938356164384,0.009297719543419817,0.9958904109589041,67.82
4,0.019338336323552578,0.9940068493150684,0.005626564385359554,0.9986301369863013,68.23
5,0.011984394800132676,0.9961472602739726,0.012028351753424036,0.9952054794520548,68.51
6,0.00985153222605227,0.9970890410958904,0.004362145399091516,0.9986301369863013,68.1
7,0.009269283764688661,0.9970034246575342,0.007272153472248015,0.9993150684931507,67.53
8,0.00695778946152686,0.9972602739726028,0.01799743720949349,0.9965753424657534,67.73
9,0.009289493318324151,0.9964041095890411,0.0027476695758890403,0.9986301369863013,68.76
10,0.006652053430640957,0.9981164383561644,0.004788391304137909,0.9979452054794521,67.98
11,0.00536155333615628,0.9986301369863013,0.008541238096178924,0.9986301369863013,66.42
12,0.0025839339743425516,0.998972602739726,0.01996363297301753,0.9958904109589041,67.81
13,0.010933099180759189,0.9970034246575342,0.005770079396420848,0.9993150684931507,68.56
14,0.004010119835077876,0.9986301369863013,0.003948578772831115,0.9986301369863013,67.88
